year,statefips,metrofips,geo_area,cicp_initiative,jobs14to18,jobs19to21,jobs22to24,jobs25to34,jobs35to44,jobs45to54,jobs55to64,jobs65plus
2023,00,33140,Michigan City-La Porte MSA,BioCrossroads,2.9754074629571403,32.55686936288652,42.134944381224265,168.86848453340733,115.41608550428168,186.42820969412477,137.89519863048955,46.158958043501855
2023,00,29020,Kokomo MSA,BioCrossroads,0.345817643834364,11.29227094030632,13.048314568064399,97.99440319201828,69.90073569877282,86.32228546443112,64.16994586479642,20.352143098369623
2022,00,16980,Chicago-Naperville-Elgin MSA,BioCrossroads,374.41685600585333,2364.9767106049435,7658.854916596761,47723.84766870692,54395.47796610412,58199.639128518305,45400.80069987038,12544.64730954053
2021,00,33140,Michigan City-La Porte MSA,BioCrossroads,0.0,16.26677765938056,43.17119591704728,153.81420445227886,79.69795120964933,116.80887268339471,144.39346876957552,32.03971570033359
2021,00,23060,Fort Wayne MSA,BioCrossroads,42.20075537839847,192.2158012428324,304.87782982380486,1219.5234857733062,1272.8095744721518,1127.4755295556663,943.9810930510228,283.54593349983867
2019,00,21140,Elkhart-Goshen MSA,BioCrossroads,9.78691602889039,28.438748518592917,49.14021243834151,294.28609487363235,339.0862864986047,309.11992614614513,304.2176865956777,152.88752399629772
2021,00,29020,Kokomo MSA,BioCrossroads,0.0,8.6606378650704,10.0229074055472,92.27101936944439,49.73021485977549,80.58340079176027,66.77112091482735,16.44699011012876
2023,00,26900,Indianapolis-Carmel-Greenwood MSA,BioCrossroads,163.47079171884883,1059.0315418801852,3544.6281083704434,19447.08629882659,20881.762095330043,24889.498627046167,18550.80496287238,3529.104458619948
2020,00,14020,Bloomington MSA,BioCrossroads,28.605704476529997,677.4430745312253,1467.5137010575518,5820.678338211284,4696.485369684413,4352.992530912381,3848.6709344592186,821.1576739481194
2023,00,23060,Fort Wayne MSA,BioCrossroads,65.62255138777073,207.0034610843324,407.9493514280445,1468.9942237287719,1227.9303234194178,1253.951507805117,955.2675934203207,323.2425954559565
2021,00,16980,Chicago-Naperville-Elgin MSA,BioCrossroads,370.13244033765613,2181.168604544987,7297.504559658541,46271.430681295606,54672.45477022991,58147.6340972713,45997.81871656954,12007.211540698723
2020,00,21140,Elkhart-Goshen MSA,BioCrossroads,15.18996007664772,38.04897945323184,69.31700690050184,324.2187431265177,384.99840645901986,315.2899551808205,294.9011730041195,131.3480863842655
2023,18,00000,Indiana,BioCrossroads,713.4198299373605,3898.861265567657,9262.560708610286,46256.82857338088,46979.96213826142,51816.185189593714,41815.673627263364,9823.722016301897
2022,00,26900,Indianapolis-Carmel-Greenwood MSA,BioCrossroads,170.32502353472276,970.2886677823088,3380.736862231706,17567.86591713914,19927.464664545005,24430.33447114333,17587.121885321514,3107.2717733648574
2019,00,14020,Bloomington MSA,BioCrossroads,57.308353435557414,858.6099659437695,1599.5160238186063,5624.303460055095,4526.151281735389,4323.429992389928,3733.536966102269,798.689551669348
2022,00,18020,Columbus MSA,BioCrossroads,4.007731206552408,38.21833576117524,68.16674385601836,322.8471805789391,305.08669214966613,365.9251628971628,271.1116456896692,63.2596118822269
2021,00,18020,Columbus MSA,BioCrossroads,0.0,31.761001790234033,67.40718440644818,271.61111465532355,281.0352610522914,342.51076173862583,240.78411573726504,39.9593524620183
2020,00,43780,South Bend-Mishawaka MSA,BioCrossroads,7.724055854327768,87.31078325105719,175.2870417324578,1026.7490937518967,1253.0908119519986,1221.9764954621342,1506.4313634344207,353.89331416104693
2021,00,43780,South Bend-Mishawaka MSA,BioCrossroads,3.67430974119,87.61416381248242,177.9201577553634,824.8111952655536,1063.7829274514006,1065.0486632994873,1337.2354874021978,356.2352453225464
2023,00,17140,Cincinnati MSA,BioCrossroads,101.23666973227915,701.1259385177489,2540.8046307373647,10902.353634196987,10093.477033410392,9584.19482433076,7595.339383969659,2222.455313894736
2020,00,26900,Indianapolis-Carmel-Greenwood MSA,BioCrossroads,112.22661055784876,737.4955435147451,2746.7788007374747,14687.977248269812,19172.783752730156,23353.201543498595,15562.505738308615,2478.2146801184927
2019,00,23060,Fort Wayne MSA,BioCrossroads,44.904786252217555,182.4897854836424,275.3169420145774,1246.1193389524826,1242.3852977607849,1234.9250969927036,1006.1818785017639,259.06530885794604
2023,00,14020,Bloomington MSA,BioCrossroads,26.678208854643,827.5756213542911,1712.3104278773615,7626.533069370386,5988.600409033443,5545.933609244886,5050.263166916614,1241.0902799831338
