cicp_initiative,geo_area,statefips,countyfips,metrofips,year,jobs,STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2023,44731.61773819595,STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2023,314875.3907048971,Non-STEM
Advanced and Traded Industries,Indianapolis-Carmel-Greenwood MSA,00,000,26900,2024,44830.0817033026,STEM
Advanced and Traded Industries,Kokomo MSA,00,000,29020,2022,717.742505873159,STEM
Advanced and Traded Industries,Kokomo MSA,00,000,29020,2024,712.3622721492784,STEM
Advanced and Traded Industries,Kokomo MSA,00,000,29020,2026,691.8364290723931,STEM
Advanced and Traded Industries,Kokomo MSA,00,000,29020,2028,675.395239314505,STEM
Advanced and Traded Industries,Lafayette-West Lafayette MSA,00,000,29200,2020,3323.5874383595456,STEM
Advanced and Traded Industries,Lafayette-West Lafayette MSA,00,000,29200,2021,3282.3421815912197,STEM
Advanced and Traded Industries,Lafayette-West Lafayette MSA,00,000,29200,2023,28729.31308624326,Non-STEM
Advanced and Traded Industries,Lafayette-West Lafayette MSA,00,000,29200,2028,3900.4530466689125,STEM
Advanced and Traded Industries,Lafayette-West Lafayette MSA,00,000,29200,2028,30334.48350637716,Non-STEM
Advanced and Traded Industries,Louisville/Jefferson County MSA,00,000,31140,2019,218056.28646677214,Non-STEM
Advanced and Traded Industries,Louisville/Jefferson County MSA,00,000,31140,2020,215840.31167570196,Non-STEM
Advanced and Traded Industries,Louisville/Jefferson County MSA,00,000,31140,2022,22958.913843676666,STEM
Advanced and Traded Industries,Louisville/Jefferson County MSA,00,000,31140,2023,22125.143227656146,STEM
Advanced and Traded Industries,Louisville/Jefferson County MSA,00,000,31140,2026,23053.020520793627,STEM
Advanced and Traded Industries,Louisville/Jefferson County MSA,00,000,31140,2026,237184.43416907702,Non-STEM
Advanced and Traded Industries,Louisville/Jefferson County MSA,00,000,31140,2027,238572.51171451077,Non-STEM
Advanced and Traded Industries,Michigan City-La Porte MSA,00,000,33140,2020,786.0053815615759,STEM
Advanced and Traded Industries,Michigan City-La Porte MSA,00,000,33140,2021,751.9017020875222,STEM
Advanced and Traded Industries,Michigan City-La Porte MSA,00,000,33140,2021,10905.771805256825,Non-STEM
Advanced and Traded Industries,Michigan City-La Porte MSA,00,000,33140,2022,800.4488508034833,STEM
Advanced and Traded Industries,Michigan City-La Porte MSA,00,000,33140,2023,12056.314777939699,Non-STEM
Advanced and Traded Industries,Michigan City-La Porte MSA,00,000,33140,2024,12078.874059122485,Non-STEM
Advanced and Traded Industries,Michigan City-La Porte MSA,00,000,33140,2025,866.7731896012176,STEM
Advanced and Traded Industries,Michigan City-La Porte MSA,00,000,33140,2025,12293.68338564034,Non-STEM
Advanced and Traded Industries,Terre Haute MSA,00,000,45460,2019,1111.667097527622,STEM
Advanced and Traded Industries,Terre Haute MSA,00,000,45460,2020,13930.349839842573,Non-STEM
Advanced and Traded Industries,Terre Haute MSA,00,000,45460,2022,14859.344250156993,Non-STEM
Advanced and Traded Industries,Terre Haute MSA,00,000,45460,2027,15508.380965263863,Non-STEM
Advanced and Traded Industries,Terre Haute MSA,00,000,45460,2028,1122.0983450706926,STEM
Advanced and Traded Industries,Terre Haute MSA,00,000,45460,2028,15528.575266544689,Non-STEM
Advanced and Traded Industries,United States,0,000,00000,2021,6285911.752043733,STEM
Advanced and Traded Industries,United States,0,000,00000,2022,36556846.09026513,Non-STEM
Advanced and Traded Industries,United States,0,000,00000,2023,36915691.84172574,Non-STEM
Advanced and Traded Industries,United States,0,000,00000,2025,37561004.34499525,Non-STEM
Advanced and Traded Industries,United States,0,000,00000,2026,7173866.683890787,STEM
Advanced and Traded Industries,United States,0,000,00000,2026,38072873.3919535,Non-STEM
Advanced and Traded Industries,United States,0,000,00000,2028,7430895.2081101425,STEM
Advanced and Traded Industries,United States,0,000,00000,2028,38781607.05285586,Non-STEM
AgriNovus,Bloomington MSA,00,000,14020,2019,77.60686895906301,Non-STEM
AgriNovus,Bloomington MSA,00,000,14020,2022,0.0,STEM
AgriNovus,Bloomington MSA,00,000,14020,2025,123.69180202477298,Non-STEM
AgriNovus,Bloomington MSA,00,000,14020,2026,0.427290302273,STEM
AgriNovus,Bloomington MSA,00,000,14020,2028,0.475440367104,STEM
