year,NAICS,occ
2019,517112,17-2011
2022,541513,49-9096
2024,334516,33-3031
2020,334517,49-9052
2021,334416,21-1021
2023,334111,51-9081
2024,334511,11-3111
2026,334419,13-2041
2023,334513,17-2112
2020,423430,25-3099
2026,334519,29-2053
2019,541512,33-3041
2025,333242,37-2019
2024,334510,29-1129
2023,334112,49-9052
2027,334220,43-9022
2026,811210,11-9013
2027,334112,51-9032
2026,517121,29-2043
2021,334290,33-3041
2024,334610,13-2028
2027,541513,51-6052
2026,541513,53-1047
2019,334290,49-9095
2024,334516,27-2011
2020,611420,51-6042
2019,541513,47-4041
2026,334515,51-2021
2026,334517,53-7199
2024,541512,47-2071
2023,513130,51-6051
2023,517121,13-2061
2022,334290,13-2028
2019,513199,25-9099
2020,517410,45-4011
2028,334310,47-2043
2024,334417,29-1216
2022,333242,33-3012
2022,517810,11-1031
2026,811210,51-8092
2021,541511,19-4044
2026,334610,17-2021
2020,517112,29-1128
2021,517121,45-4029
2019,334210,13-2072
2024,334510,47-2041
2019,334290,53-7073
2021,611420,29-1242
2026,541513,39-3012
2025,334290,11-9161
2022,334510,41-2011
2021,334112,39-6012
2019,513130,51-9194
2021,334416,43-6012
2019,513210,17-2071
2027,334111,29-1021
2020,334220,27-2012
2022,334419,47-2071
2021,334290,23-2099
2025,334516,43-3041
2026,334513,33-3051
2027,334118,39-9032
2025,334515,53-7011
2027,334610,27-1026
2025,513120,25-1099
2021,423430,51-9193
2026,334519,49-9081
2019,541513,21-1094
2026,334419,19-5011
2019,517112,11-9111
2024,611420,11-3013
2024,334519,19-1031
2023,541513,45-2021
2020,517410,51-4191
2022,518210,43-9021
2019,334416,51-4193
2019,333242,21-1094
2022,334416,33-9094
2024,517112,29-1125
2020,541512,15-1243
2025,517111,17-3025
2022,423430,21-1091
2027,517121,53-7064
2020,541519,41-3091
2024,513110,49-2011
2023,334418,51-8092
2020,334220,29-2034
2020,334419,19-4042
2026,513120,35-3041
2021,334519,49-1011
2021,334417,31-9093
2027,334511,53-5022
2028,333242,27-3031
2022,333242,11-9151
2021,334519,51-6042
2028,517112,27-4031
2022,513199,11-3061
2028,334417,19-4042
2028,518210,25-2023
2026,811210,47-2121
2021,541511,35-2012
2023,513210,47-4031
2023,517121,25-2059
2025,517121,29-1029
2028,334118,51-4199
2028,513210,51-4062
2020,513120,15-1231
2023,513199,53-3031
2022,518210,45-2092
2025,541513,19-4012
2022,541511,99-9999
2026,334510,31-1133
2021,334290,51-9061
2027,334512,35-1012
2028,513110,35-3041
2022,334517,51-6093
2023,334519,31-9011
2020,334511,19-1032
2024,334519,29-1051
2019,611420,33-1099
2020,541511,51-9124
2019,541511,43-4121
2027,334516,29-2056
2026,541519,47-5012
2021,334290,19-2021
2025,334610,17-3012
2028,517112,11-1021
2022,334418,47-2043
2020,334413,51-8099
2025,334111,45-4021
2027,513199,51-2028
2027,334515,47-4021
2027,334310,15-1254
2028,334416,49-2094
2027,334610,53-4011
2023,423430,53-5021
2019,518210,11-9071
2026,517810,29-1131
2028,334290,31-9094
2028,334310,33-9032
2028,334413,53-3032
2022,334610,27-1027
2020,513210,41-9031
2022,541511,47-2132
2021,334210,49-3052
2025,513210,13-1075
2022,334513,27-1022
2025,334418,23-1021
2020,334519,43-4199
2026,541519,39-3031
2021,334416,19-1099
2028,334418,39-3019
2027,334112,31-2011
2026,517111,19-1031
2023,517121,51-3021
2021,334511,29-1125
2024,334511,15-1241
2019,334610,17-2199
2021,334512,31-9097
2023,334210,41-9011
2025,334310,29-1218
2024,334610,49-3011
2022,334515,21-1023
2028,513110,27-3091
2024,517112,17-2171
2024,334417,49-9094
2025,334510,51-9161
2023,334220,27-2021
2024,334412,51-4033
2023,611420,25-2012
2019,517810,53-7031
2019,517121,43-2011
