year,statefips,metrofips,geo_area,cicp_initiative,females,males
2021,00,21140,Elkhart-Goshen MSA,BioCrossroads,812.7467118548753,861.9169493656688
2022,00,34620,Muncie MSA,Conexus,4861.900866190956,18729.225544541063
2021,00,17140,Cincinnati MSA,TechPoint,26394.64264180587,57058.38056517704
2020,00,21780,Evansville MSA,TechPoint,2150.5008168501,4517.428275144703
2022,00,18020,Columbus MSA,TechPoint,497.56352068402805,1471.432912868292
2020,00,18020,Columbus MSA,TechPoint,586.27094345856,1859.388276181959
2024,18,00000,Indiana,TechPoint,75375.64841643175,137962.24700231064
2020,00,23060,Fort Wayne MSA,Finance,18682.421016760498,10901.4623802609
2023,00,16980,Chicago-Naperville-Elgin MSA,Finance,373585.59616780496,334125.1221839897
2021,00,14020,Bloomington MSA,Healthcare,18649.190759992573,4699.512782314051
2023,00,21780,Evansville MSA,Advanced and Traded Industries,42533.754396775395,79358.94051780156
2022,00,18020,Columbus MSA,Advanced and Traded Industries,23637.887369580185,50835.519416258474
2023,00,16980,Chicago-Naperville-Elgin MSA,Advanced and Traded Industries,1682590.93635119,2570936.78134949
2020,00,23060,Fort Wayne MSA,AgriNovus,5762.122977998418,13701.343235596418
2021,00,18020,Columbus MSA,BioCrossroads,470.69691493803646,685.3868378360195
2020,00,34620,Muncie MSA,Conexus,4422.390887781525,18170.264766426557
2022,00,29200,Lafayette-West Lafayette MSA,Conexus,27121.34724260464,76844.12233541696
2024,18,00000,Indiana,Finance,215912.5718054633,123808.41744892
2024,00,21140,Elkhart-Goshen MSA,Finance,3638.97913344339,1983.274840090797
2021,00,16980,Chicago-Naperville-Elgin MSA,Healthcare,1012546.1761800298,293220.36940284004
2024,00,33140,Michigan City-La Porte MSA,Healthcare,11331.740887349584,2179.4304845702823
2021,00,26900,Indianapolis-Carmel-Greenwood MSA,Healthcare,285835.41783972905,71669.2531356114
2022,00,29020,Kokomo MSA,Advanced and Traded Industries,10864.273450890692,25497.446487103025
2020,0,00000,United States,AgriNovus,6315672.904723147,13181821.939382298
2022,00,26900,Indianapolis-Carmel-Greenwood MSA,BioCrossroads,41810.36600865066,46637.901544405926
2022,00,18020,Columbus MSA,BioCrossroads,552.2599340897757,750.6766994388888
2020,00,21780,Evansville MSA,Conexus,28490.625776073528,82566.97832738169
2021,00,18020,Columbus MSA,Conexus,24355.822724339694,58837.11928553414
2021,00,29200,Lafayette-West Lafayette MSA,Conexus,25427.08437098079,73925.13895940462
2023,00,33140,Michigan City-La Porte MSA,TechPoint,716.9916239762132,721.623349203132
2023,00,21140,Elkhart-Goshen MSA,Finance,3592.111923397277,1926.2328197947802
2022,00,33140,Michigan City-La Porte MSA,Finance,1866.9623538680312,646.6903620784799
2020,00,33140,Michigan City-La Porte MSA,Finance,1962.0475921168586,603.03781524252
2022,00,29020,Kokomo MSA,Healthcare,10022.60290794525,1948.1086224655473
2022,00,33140,Michigan City-La Porte MSA,Healthcare,10956.519776820485,2166.984571202748
2020,00,14020,Bloomington MSA,Advanced and Traded Industries,21610.33873540743,26240.863635192793
2020,00,33140,Michigan City-La Porte MSA,AgriNovus,2441.1686180159845,4863.631096405636
2021,00,16980,Chicago-Naperville-Elgin MSA,BioCrossroads,108381.02415815502,118785.43390015313
2023,00,34620,Muncie MSA,Conexus,5161.922702886081,19362.70647032666
2022,00,26900,Indianapolis-Carmel-Greenwood MSA,TechPoint,35039.803210005375,64694.2449438222
2022,00,18020,Columbus MSA,Finance,2203.219159635525,999.7788915226199
2024,0,00000,United States,Healthcare,38591334.17356379,11466860.223327601
2024,00,31140,Louisville/Jefferson County MSA,Advanced and Traded Industries,285901.32635598996,470317.04460282566
2023,00,31140,Louisville/Jefferson County MSA,Advanced and Traded Industries,287759.4493900719,474017.97835722653
2022,00,29020,Kokomo MSA,AgriNovus,656.3564739401198,1789.3947819007717
2023,00,29020,Kokomo MSA,AgriNovus,694.823942814116,1834.6719062744799
2024,00,29200,Lafayette-West Lafayette MSA,AgriNovus,6339.039057095143,14928.309248758522
2020,00,14020,Bloomington MSA,BioCrossroads,12092.107993290432,10848.238326251
2023,00,21780,Evansville MSA,Conexus,31900.37726194312,85791.20199164879
2023,00,18020,Columbus MSA,TechPoint,480.9133816663829,1539.623384907303
2020,00,14020,Bloomington MSA,TechPoint,913.54664559264,2171.1628599997985
2023,0,00000,United States,Finance,11801143.28843481,8393823.018077152
2021,00,23060,Fort Wayne MSA,Finance,18355.83161229933,10908.547264560728
2022,00,43780,South Bend-Mishawaka MSA,Healthcare,40724.962743408876,9233.24555937381
2020,18,00000,Indiana,Healthcare,814609.9080712651,182986.65257647526
