sector,sector_name,naics_version,naics_code,naics_title,compTia_reportYear
2,"Telecommunications, Internet Services and Data Hosting",2022,513130,Book Publishers ,2021
2,"Telecommunications, Internet Services and Data Hosting",2022,513199,All Other Publishers ,2021
2,"Telecommunications, Internet Services and Data Hosting",2022,513199,All Other Publishers ,2023
3,Software,2022,513210,Software Publishers,2023
3,Software,2022,513210,  Software publishers,2021
3,Software,2022,513210,Software Publishers,2025
2,"Telecommunications, Internet Services and Data Hosting",2022,516210,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",2025
2,"Telecommunications, Internet Services and Data Hosting",2022,517111,  Wired telecommunications carriers,2021
2,"Telecommunications, Internet Services and Data Hosting",2022,517111,Wired Telecommunications Carriers ,2023
2,"Telecommunications, Internet Services and Data Hosting",2022,517111,Wired Telecommunications Carriers,2025
2,"Telecommunications, Internet Services and Data Hosting",2022,517112,Wireless Telecommunications Carriers (except Satellite),2023
2,"Telecommunications, Internet Services and Data Hosting",2022,517112,  Wireless telecommunications carriers (except satellite),2021
2,"Telecommunications, Internet Services and Data Hosting",2022,517112,Wireless Telecommunications Carriers (except Satellite),2025
2,"Telecommunications, Internet Services and Data Hosting",2022,517121,Telecommunications Resellers,2023
2,"Telecommunications, Internet Services and Data Hosting",2022,517121,  Telecommunications resellers,2021
2,"Telecommunications, Internet Services and Data Hosting",2022,517121,Telecommunications Resellers,2025
2,"Telecommunications, Internet Services and Data Hosting",2022,517122,Agents for Wireless Telecommunications Services,2023
2,"Telecommunications, Internet Services and Data Hosting",2022,517122,Agents for Wireless Telecommunications Services,2021
2,"Telecommunications, Internet Services and Data Hosting",2022,517410,  Satellite telecommunications,2021
2,"Telecommunications, Internet Services and Data Hosting",2022,517410,Satellite Telecommunications,2023
2,"Telecommunications, Internet Services and Data Hosting",2022,517410,Satellite Telecommunications,2025
2,"Telecommunications, Internet Services and Data Hosting",2022,517810,All Other Telecommunications ,2023
2,"Telecommunications, Internet Services and Data Hosting",2022,517810,  All other telecommunications,2021
2,"Telecommunications, Internet Services and Data Hosting",2022,517810,All Other Telecommunications,2025
2,"Telecommunications, Internet Services and Data Hosting",2022,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",2021
2,"Telecommunications, Internet Services and Data Hosting",2022,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",2023
2,"Telecommunications, Internet Services and Data Hosting",2022,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",2025
2,"Telecommunications, Internet Services and Data Hosting",2022,519290,Web Search Portals and All Other Information Services,2025
2,"Telecommunications, Internet Services and Data Hosting",2022,541330,  Engineering services,2021
2,"Telecommunications, Internet Services and Data Hosting",2022,541380,Testing Laboratories and Services,2021
1,IT/Tech Services,2022,541511,Custom Computer Programming Services ,2023
1,IT/Tech Services,2022,541511,  Custom computer programming services,2021
1,IT/Tech Services,2022,541511,Custom Computer Programming Services,2025
1,IT/Tech Services,2022,541512,  Computer systems design services,2021
1,IT/Tech Services,2022,541512,Computer Systems Design Services ,2023
1,IT/Tech Services,2022,541512,Computer Systems Design Services,2025
1,IT/Tech Services,2022,541513,Computer Facilities Management Services ,2023
1,IT/Tech Services,2022,541513,  Computer facilities management services,2021
1,IT/Tech Services,2022,541513,Computer Facilities Management Services,2025
1,IT/Tech Services,2022,541519,  Other computer related services,2021
1,IT/Tech Services,2022,541519,Other Computer Related Services,2023
1,IT/Tech Services,2022,541519,Other Computer Related Services,2025
1,IT/Tech Services,2022,541713,  Research and development in nanotechnology,2021
