year,statefips,metrofips,geo_area,code,category,data
2021,18,26900,Indianapolis MSA,901,Area of Study - Business and Communication,1832
2021,18,26900,Indianapolis MSA,902,Area of Study - Education,507
2021,18,26900,Indianapolis MSA,903,Area of Study - Health,1266
2021,18,26900,Indianapolis MSA,904,"Area of Study - Science, Technology, Engineering, and Math (STEM)",2518
2021,18,26900,Indianapolis MSA,905,Area of Study - Social and Behavioral Sciences and Human Services,1129
2021,18,26900,Indianapolis MSA,906,Area of Study - Trades,501
2021,18,26900,Indianapolis MSA,907,Area of Study - Undecided,590
2021,18,26900,Indianapolis MSA,908,Degree Level - Associate,1656
2021,18,26900,Indianapolis MSA,909,Degree Level - Award of at least 1 but less than 2 academic years,204
2021,18,26900,Indianapolis MSA,910,Degree Level - Award of less than 1 academic year,236
2021,18,26900,Indianapolis MSA,911,Degree Level - Bachelor's,7383
2021,18,26900,Indianapolis MSA,912,Degree Level - Unclassified undergraduate,9
