year,NAICS,occ
2023,522291,47-5011
2021,523910,43-3061
2027,523999,53-6041
2027,525990,17-1022
2028,524291,51-6052
2022,522299,11-3012
2024,522180,39-4012
2024,522291,27-1027
2020,523160,19-1011
2020,523991,41-2021
2025,525910,51-7032
2023,525990,17-3011
2023,522291,53-7062
2024,525110,17-2199
2027,524114,45-2021
2019,524210,39-5091
2025,524210,47-5071
2026,524291,29-2053
2025,524298,15-2041
2023,524128,49-9063
2025,524130,49-9097
2024,522220,27-1014
2020,523910,53-7121
2028,524128,43-9071
2023,525920,49-9098
2026,524298,47-2042
2026,524113,11-9021
2027,522299,17-3019
2022,524292,31-1133
2027,523910,19-1021
2021,524126,51-8011
2028,524292,53-6051
2026,522130,29-2034
2019,522390,39-9011
2019,523160,29-2053
2019,522220,47-2011
2024,521110,43-9199
2021,524113,53-6051
2027,525110,27-3092
2024,524114,39-6012
2024,524292,45-1011
2027,522110,53-2011
2024,523210,25-3021
2022,524114,49-2093
2028,525990,33-2022
2021,525920,49-9011
2020,525910,11-9072
2024,522299,53-4041
2024,525920,11-3121
2027,522320,19-4012
2022,525190,51-9123
2028,523910,47-5022
2020,522299,11-9081
2020,524127,29-1218
2026,524210,39-9011
2028,524127,35-1011
2024,522110,11-2033
2021,524291,11-9033
2027,523210,47-2151
2025,522180,53-7199
2028,522110,19-3093
2028,524130,43-5111
2024,524291,51-2041
2020,522320,27-3092
2026,524113,53-3031
2023,524114,51-4032
2026,523210,27-1012
2022,521110,51-8091
2022,525920,41-9012
2027,523160,53-7061
2026,523150,27-3092
2028,522110,17-2011
2028,524130,39-5012
2021,522320,33-9031
2019,522320,51-3091
2019,521110,17-3025
2019,524130,47-2111
2027,522110,19-1029
2026,524114,19-1042
2022,524114,49-9069
2022,522320,51-9151
2024,522291,19-2021
2026,522390,19-1099
2026,522390,49-9052
2022,523150,49-2091
2021,524128,49-2096
2028,525110,43-2099
2028,525910,21-1092
2023,522320,51-9191
2027,521110,43-4021
2021,523991,31-9096
2023,522390,51-2051
2021,522320,43-5053
2028,524292,13-2054
2026,523210,29-9092
2024,522292,47-3015
2022,523150,29-1023
2020,524130,51-9111
2024,525920,17-2171
2025,522292,29-1229
2028,523150,25-3011
2020,525110,39-3093
2020,522220,29-9021
2025,523150,51-2051
2019,525110,49-3042
2021,525120,51-4194
2021,523999,51-4192
2024,522220,25-3099
2019,522390,19-4051
2026,523160,11-2033
2024,524128,39-5011
2019,524291,51-3022
2021,525920,27-1014
2020,522220,53-7011
2024,523210,53-1041
2027,524126,51-7021
2026,522299,39-4031
2023,522130,27-3042
2023,523910,13-2054
2028,525120,49-9021
2020,524292,29-1022
2021,524128,45-3031
2022,522299,17-2151
2023,523160,21-2099
2025,522130,13-1121
2024,522110,19-4061
2021,524130,43-4151
2028,523910,25-2052
2020,524113,43-5071
2019,525990,17-2031
2028,522180,31-1132
2021,524113,99-9999
2025,523160,33-9011
2024,522110,41-9022
2019,525110,47-5049
2028,524130,41-9031
2020,524113,49-9011
2022,522220,25-4013
2028,525920,49-9031
2021,522220,43-4041
2027,522292,17-3023
2024,524113,53-7062
2022,523210,43-5021
2022,523991,17-3023
2021,524298,33-3052
2020,523991,49-3092
2027,524114,25-3099
2021,523210,13-2072
2021,522320,19-2011
2020,524113,39-3021
2021,524128,29-2055
2022,524292,13-1051
2028,524127,51-4071
2020,522292,29-1222
2027,522210,47-2181
2027,524298,27-3099
2019,524292,11-1021
2022,525990,47-2031
2021,524298,51-8012
2027,525190,53-3032
2023,523991,39-9032
2026,524114,29-2072
2022,522220,47-5041
2020,524128,25-3021
2023,524292,33-3012
2028,525120,51-4032
2019,524210,11-9072
2021,524292,19-3094
2022,525910,29-2091
2023,524298,51-8031
2025,523940,39-9032
2021,524291,35-1011
2025,524291,47-3019
2026,523991,17-2072
2019,524126,17-2072
2027,525910,53-7071
2019,522299,39-5094
2023,524130,27-2031
2025,522220,29-1223
2027,524128,29-1128
2019,524292,29-2035
2023,522291,43-3031
2027,523991,41-3091
2022,524114,43-4011
2021,523940,49-3093
2027,522220,29-1151
2025,525120,15-1252
2026,525920,51-3093
2026,524210,23-1012
2024,524126,51-9022
2028,524292,43-9031
2020,522210,29-2056
2024,525910,27-1013
2026,525910,51-2011
2020,523910,53-7031
2021,524126,43-6014
2019,524130,51-6099
2021,524291,39-3011
2026,524291,11-2022
2020,522291,53-6099
2020,523999,35-9021
2028,523999,15-1253
2020,524127,21-1093
2027,525910,49-3021
2019,522180,35-9011
2026,523910,51-9162
2023,523940,51-4021
2020,522180,53-6011
2020,524291,25-3031
2024,523940,37-3013
2021,524127,49-3091
2021,523991,37-1012
2027,524210,47-4071
2022,524291,43-4131
2027,524127,51-6064
2025,525920,29-2034
2025,525910,17-3019
2019,523150,35-3011
2024,523999,11-3131
2025,523940,29-2051
2025,525990,51-9012
2026,522220,17-2151
2028,523991,15-1251
2020,522130,33-3012
2028,523999,19-2031
2020,522320,49-3041
2027,522110,17-1011
2027,524130,29-2052
2023,525990,47-4041
2026,522310,29-1223
2020,522110,19-2012
2027,522130,31-9011
2028,524128,49-9061
2020,524210,29-1211
2019,524126,47-5011
2028,523210,43-9061
2022,524130,53-7041
2021,523150,27-2021
2025,522292,29-1241
2019,522299,17-3021
2019,524114,45-2041
2028,523150,47-4011
2019,523940,39-9011
2027,522299,13-2072
2023,525110,27-1025
2019,524210,51-8091
2025,524114,47-2031
2022,525120,23-2011
2028,525110,41-3011
2021,523210,29-2052
2023,524292,25-9031
2026,525190,17-3024
2023,523160,27-2032
2023,524127,53-4099
2025,523210,51-4111
2019,523160,29-1292
2020,523160,51-1011
2021,525190,43-4151
2019,525990,53-3054
