statefips,countyfips,metrofips,cnty_name,year,code,data
18,003,00000,Allen,2018,602,1250
18,003,00000,Allen,2018,603,721
18,003,00000,Allen,2018,604,719
18,003,00000,Allen,2018,700,2705
18,003,00000,Allen,2018,800,1859
18,003,00000,Allen,2018,900,235
18,003,00000,Allen,2018,901,324
18,003,00000,Allen,2018,902,119
18,003,00000,Allen,2018,903,314
18,003,00000,Allen,2018,904,424
18,003,00000,Allen,2018,905,174
18,003,00000,Allen,2018,906,114
18,003,00000,Allen,2018,907,155
18,003,00000,Allen,2018,908,365
18,003,00000,Allen,2018,909,31
18,003,00000,Allen,2018,910,11
18,003,00000,Allen,2018,911,1449
18,003,00000,Allen,2018,912,3
18,003,00000,Allen,2019,100,4299
18,003,00000,Allen,2019,101,2384
18,003,00000,Allen,2019,102,277
18,003,00000,Allen,2019,103,1638
18,003,00000,Allen,2019,200,3646
18,003,00000,Allen,2019,201,29
18,003,00000,Allen,2019,202,133
18,003,00000,Allen,2019,203,280
18,003,00000,Allen,2019,204,211
18,003,00000,Allen,2019,300,2188
18,003,00000,Allen,2019,301,2111
18,003,00000,Allen,2019,302,254
18,003,00000,Allen,2019,303,599
18,003,00000,Allen,2019,304,426
18,003,00000,Allen,2019,305,260
18,003,00000,Allen,2019,306,2760
18,003,00000,Allen,2019,400,357
18,003,00000,Allen,2019,401,3942
18,003,00000,Allen,2019,500,1549
18,003,00000,Allen,2019,501,2750
18,003,00000,Allen,2019,600,2969
18,003,00000,Allen,2019,601,86
18,003,00000,Allen,2019,602,568
18,003,00000,Allen,2019,603,244
18,003,00000,Allen,2019,604,432
18,003,00000,Allen,2019,700,2434
18,003,00000,Allen,2019,800,1877
18,003,00000,Allen,2019,900,299
18,003,00000,Allen,2019,901,315
18,003,00000,Allen,2019,902,133
18,003,00000,Allen,2019,903,310
18,003,00000,Allen,2019,904,432
18,003,00000,Allen,2019,905,204
18,003,00000,Allen,2019,906,117
18,003,00000,Allen,2019,907,67
18,003,00000,Allen,2019,908,331
18,003,00000,Allen,2019,909,55
18,003,00000,Allen,2019,910,16
18,003,00000,Allen,2019,911,1474
18,003,00000,Allen,2019,912,1
18,003,00000,Allen,2020,100,4450
18,003,00000,Allen,2020,101,2441
18,003,00000,Allen,2020,102,279
18,003,00000,Allen,2020,103,1730
18,003,00000,Allen,2020,200,0
