msa,cicp_initiative,new_est_type,new_est_type_desc,Total_Establishments,Total_Employment,Total_Wages,Avg_Wage
43780,Conexus,2,Qualified - 21-50 Employees at start,10,391.3333333333333,20274287,51808.229131175474
43780,Conexus,3,Qualified - 51-100 Employees at start,5,222.41666666666669,9503789,42729.66204571
43780,Conexus,4,Qualified - 101+ Employees at start,1,25.583333333333332,873836,34156.45602605864
43780,Other,1,Qualified New - 1-20 or fewer Employees at start,1278,5387.666666666667,238453153,44256.7017880344
43780,Other,2,Qualified - 21-50 Employees at start,54,1198.75,37736888,31480.198540145986
43780,Other,3,Qualified - 51-100 Employees at start,18,929.0833333333334,22465846,24180.657637456272
43780,Other,4,Qualified - 101+ Employees at start,3,890.1666666666666,37835762,42504.132559445796
43780,TechPoint,1,Qualified New - 1-20 or fewer Employees at start,134,282.1666666666667,26575237,94182.76550502067
43780,TechPoint,2,Qualified - 21-50 Employees at start,1,27.5,2800960,101853.09090909091
43780,Total,1,Qualified New - 1-20 or fewer Employees at start,1943,7191.416666666667,357939683,49771.01224839797
43780,Total,2,Qualified - 21-50 Employees at start,69,1720.0833333333333,68121017,39603.32367617848
43780,Total,3,Qualified - 51-100 Employees at start,24,1151.5,31969635,27763.469387755104
43780,Total,4,Qualified - 101+ Employees at start,4,915.75,38709598,42270.923286923295
45460,Advanced & Traded Industries,1,Qualified New - 1-20 or fewer Employees at start,250,721.25,44557359,61770.19341421144
45460,Advanced & Traded Industries,2,Qualified - 21-50 Employees at start,11,210.66666666666666,10540734,50035.129746835446
45460,Advanced & Traded Industries,4,Qualified - 101+ Employees at start,1,43.75,4758272,108760.50285714286
45460,AgriNovus,1,Qualified New - 1-20 or fewer Employees at start,38,143,4104541,28703.083916083917
45460,AgriNovus,2,Qualified - 21-50 Employees at start,1,37.583333333333336,1914710,50945.72062084257
45460,BioX,1,Qualified New - 1-20 or fewer Employees at start,10,38.083333333333336,2047249,53757.08533916849
45460,Conexus,1,Qualified New - 1-20 or fewer Employees at start,76,283.3333333333333,12435527,43870.30588235294
45460,Conexus,2,Qualified - 21-50 Employees at start,10,178.16666666666666,8695300,48804.3030869972
